user_id,1-Fri,1-Mon,1-Sat,1-Sun,1-Thu,1-Tue,1-Wed,2-Fri,2-Mon,2-Sat,2-Sun,2-Thu,2-Tue,2-Wed,3-Fri,3-Mon,3-Sat,3-Sun,3-Thu,3-Tue,3-Wed,4-Fri,4-Mon,4-Sat,4-Sun,4-Thu,4-Tue,4-Wed,5-Fri,5-Mon,5-Sat,5-Sun,5-Thu,5-Tue,5-Wed
935,25760.0,9210.0,10290.0,18420.0,9600.0,3790.0,1860.0,0.0,2550.0,6700.0,0.0,0.0,21480.0,10220.0,1020.0,57890.0,105270.0,41190.0,26150.0,16000.0,20050.0,32250.0,0.0,0.0,0.0,0.0,0.0,0.0,5370.0,1180.0,44890.0,10820.0,1820.0,31600.0,608370.0
936,20340.0,8720.0,14330.0,4860.0,89970.0,14400.0,9830.0,0.0,21420.0,980.0,0.0,7080.0,1540.0,8450.0,20760.0,35460.0,110350.0,95300.0,10940.0,42590.0,162300.0,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,27240.0,2770.0,71500.0,37730.0,19710.0,2180.0,1300.0
937,4010.0,1450.0,3960.0,12020.0,0.0,4350.0,2640.0,0.0,0.0,2220.0,8580.0,3710.0,103430.0,0.0,0.0,0.0,0.0,102120.0,9670.0,26700.0,13460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58020.0,2270.0,144170.0,72460.0,0.0,205320.0
938,5450.0,21570.0,3290.0,3240.0,10920.0,41020.0,4960.0,0.0,92410.0,0.0,21990.0,0.0,1090.0,19240.0,17280.0,0.0,16750.0,105370.0,0.0,69180.0,19150.0,0.0,4740.0,0.0,0.0,13540.0,0.0,0.0,42570.0,11490.0,105550.0,54970.0,83740.0,72920.0,99890.0
939,32700.0,2850.0,18030.0,56200.0,570.0,3100.0,5810.0,3480.0,350.0,4350.0,0.0,7130.0,1090.0,0.0,0.0,284580.0,0.0,71230.0,0.0,0.0,55930.0,0.0,0.0,80280.0,0.0,0.0,0.0,0.0,18480.0,381300.0,24540.0,247700.0,76830.0,6930.0,219340.0
940,960.0,9960.0,1310.0,26790.0,12630.0,5590.0,1340.0,0.0,0.0,0.0,14980.0,0.0,0.0,1400.0,90390.0,71160.0,7840.0,115700.0,0.0,27880.0,21400.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,37690.0,11270.0,360090.0,6490.0,69720.0,161590.0,55830.0
941,37160.0,13320.0,194000.0,182120.0,8990.0,68210.0,19670.0,7920.0,5810.0,9070.0,0.0,0.0,1890.0,37750.0,38670.0,330380.0,0.0,257700.0,494450.0,0.0,189040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738140.0,39380.0,311380.0,18020.0,49210.0,12510.0,607760.0
942,8540.0,16490.0,8450.0,8240.0,2440.0,9770.0,15350.0,0.0,1070.0,11480.0,1740.0,12920.0,0.0,0.0,36860.0,39060.0,0.0,41540.0,15060.0,190810.0,34820.0,0.0,0.0,2550.0,0.0,0.0,0.0,0.0,133070.0,14650.0,87290.0,9140.0,98740.0,38500.0,97780.0
943,9790.0,79960.0,2770.0,16040.0,11910.0,23420.0,46400.0,42350.0,19480.0,10510.0,6890.0,5810.0,10410.0,0.0,99180.0,23760.0,0.0,464340.0,71540.0,2860.0,0.0,0.0,19840.0,0.0,0.0,7400.0,0.0,0.0,255240.0,236780.0,74080.0,336080.0,29560.0,34110.0,7550.0
944,10820.0,12090.0,14650.0,13160.0,14090.0,3490.0,13690.0,0.0,0.0,4100.0,0.0,9350.0,27300.0,0.0,24600.0,0.0,990.0,32460.0,42390.0,1130.0,89330.0,0.0,0.0,0.0,1210.0,0.0,0.0,0.0,48770.0,133640.0,12420.0,111760.0,247230.0,61100.0,22140.0
945,4580.0,29680.0,24620.0,19070.0,10580.0,41180.0,23490.0,0.0,37900.0,28210.0,0.0,31420.0,0.0,1250.0,77540.0,317640.0,48580.0,26500.0,0.0,368940.0,151320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2910.0,407850.0,3620.0,567360.0,133620.0,386110.0,59980.0
946,21300.0,12150.0,23120.0,24760.0,17530.0,74640.0,28020.0,0.0,116340.0,42080.0,94440.0,0.0,19730.0,163430.0,166870.0,193430.0,5480.0,34390.0,0.0,218300.0,110630.0,5070.0,0.0,0.0,0.0,181070.0,0.0,0.0,454060.0,103430.0,0.0,292760.0,92130.0,6850.0,27210.0
947,0.0,8270.0,28540.0,54270.0,15700.0,4400.0,57780.0,4120.0,46910.0,8170.0,22280.0,8830.0,48740.0,0.0,0.0,44140.0,95400.0,10560.0,56990.0,550190.0,0.0,0.0,0.0,0.0,39540.0,0.0,0.0,4190.0,322300.0,91960.0,42250.0,810920.0,277100.0,90060.0,94170.0
948,0.0,46680.0,9060.0,40610.0,4100.0,201230.0,20420.0,51360.0,2840.0,27630.0,0.0,0.0,56700.0,11720.0,135370.0,67970.0,93800.0,34020.0,42860.0,0.0,14540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85100.0,1490.0,55570.0,145490.0,37890.0,294080.0,322120.0
